probe,contrast,n,mean_delta_tpr_pp,ci95_lo_pp,ci95_hi_pp,positive_pairs,negative_pairs,exact_signflip_p
LINEAR,RU-R0,5,7.596000000000003,5.051806531371451,10.140193468628556,5,0,0.0625
LINEAR,RT-R0,5,6.204000000000001,4.364458967351513,8.043541032648488,5,0,0.0625
LINEAR,RUT-R0,5,8.696,5.92236608042908,11.469633919570919,5,0,0.0625
LINEAR,RUT-RT,5,2.4919999999999987,1.2701622471177014,3.713837752882296,5,0,0.0625
LINEAR,RUT-RU,5,1.0999999999999965,-0.24570258691056726,2.44570258691056,4,1,0.125
LINEAR,INTERACTION_URLxHTML,5,-5.1040000000000045,-6.755123681841358,-3.4528763181586513,0,5,0.0625
MLP,RU-R0,5,7.32,6.311114572597944,8.328885427402057,5,0,0.0625
MLP,RT-R0,5,4.239999999999999,2.6010035223710237,5.8789964776289745,5,0,0.0625
MLP,RUT-R0,5,8.732,7.443825214232374,10.020174785767624,5,0,0.0625
MLP,RUT-RT,5,4.492,2.70559111779457,6.27840888220543,5,0,0.0625
MLP,RUT-RU,5,1.412,0.7816552350271452,2.0423447649728548,5,0,0.0625
MLP,INTERACTION_URLxHTML,5,-2.8279999999999994,-4.443270764020592,-1.2127292359794064,0,5,0.0625
